Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,molecule,begin,end,strand,id,locus,description
BAF66273.1,575.7812852,-0.709688536,0.3456478,-2.053212939,0.04005193,1.62E-01,AP009351.1,517,1878,+,dnaA,NWMN_0001,chromosomal replication initiator protein DnaA
BAF66274.1,1214.68912,-0.507794305,0.138904352,-3.655711985,0.000256469,3.21E-03,AP009351.1,2163,3296,+,dnaN,NWMN_0002,DNA polymerase III beta subunit
BAF66275.1,689.7024562,-0.195036759,0.181516015,-1.074487882,0.282604073,5.13E-01,AP009351.1,3919,5031,+,recF,NWMN_0003,DNA replication and repair protein RecF
BAF66276.1,1459.092366,-0.713166071,0.418132847,-1.705596859,0.088083165,2.62E-01,AP009351.1,5041,6975,+,gyrB,NWMN_0004,DNA gyrase B subunit
BAF66277.1,2994.66628,-0.415468323,0.224244039,-1.8527508,0.063918085,2.16E-01,AP009351.1,6994,9675,+,gyrA,NWMN_0005,DNA gyrase A subunit
BAF66278.1,2110.233045,0.477881991,0.353821418,1.350630478,0.176813833,3.97E-01,AP009351.1,9762,10592,-,NWMN_0006,NWMN_0006,conserved hypothetical protein
BAF66279.1,118.401857,-0.177446107,0.246114235,-0.720990832,0.470915155,6.81E-01,AP009351.1,10900,12414,+,hutH,NWMN_0007,histidine ammonia-lyase
BAF66280.1,1701.952348,-1.246325752,0.195150383,-6.386488884,1.70E-10,9.18E-09,AP009351.1,12793,14079,+,serS,NWMN_0008,seryl-tRNA synthetase
BAF66281.1,125.9153144,0.239574187,0.393092518,0.609460052,0.542219544,7.34E-01,AP009351.1,14729,15424,+,NWMN_0009,NWMN_0009,conserved hypothetical protein
BAF66282.1,70.42789457,-0.135113318,0.396713408,-0.340581676,0.733418526,8.56E-01,AP009351.1,15421,15750,+,NWMN_0010,NWMN_0010,conserved hypothetical protein
BAF66283.1,144.4866499,0.141329923,0.270253073,0.522953991,0.601006271,7.70E-01,AP009351.1,16113,17081,+,NWMN_0011,NWMN_0011,conserved hypothetical protein
BAF66284.1,720.092124,0.192662893,0.154543881,1.246654943,0.212524047,4.37E-01,AP009351.1,17324,18310,+,NWMN_0012,NWMN_0012,conserved hypothetical protein
BAF66285.1,1980.359406,-0.39536046,0.368512854,-1.07285392,0.283336664,5.13E-01,AP009351.1,18325,20292,+,NWMN_0013,NWMN_0013,conserved hypothetical protein
BAF66286.1,679.4878842,-0.912292475,0.385783923,-2.364775775,0.01804099,9.43E-02,AP009351.1,20289,20735,+,rplI,NWMN_0014,50S ribosomal protein L9
BAF66287.1,2317.827906,-0.05309094,0.119889843,-0.442831007,0.657887974,8.11E-01,AP009351.1,20767,22167,+,dnaB,NWMN_0015,replicative DNA helicase
BAF66288.1,308.8900063,-0.721472626,0.247439962,-2.915748204,0.003548367,2.86E-02,AP009351.1,22445,23728,+,purA,NWMN_0016,adenylosuccinate synthetase
BAF66289.1,534.8979085,-0.666290429,0.269086986,-2.476115393,0.013282064,7.55E-02,AP009351.1,24926,25633,+,vicR,NWMN_0017,response regulator protein
BAF66290.1,563.1059737,-0.660421718,0.398450764,-1.657473838,0.097423714,2.80E-01,AP009351.1,25646,27472,+,vicK,NWMN_0018,sensor kinase protein
BAF66291.1,464.1834301,-0.784135528,0.435413521,-1.800898432,0.07171889,2.32E-01,AP009351.1,27438,28799,+,NWMN_0019,NWMN_0019,conserved hypothetical protein
BAF66292.1,511.1735978,-0.523204799,0.176038543,-2.972103668,0.002957668,2.49E-02,AP009351.1,28800,29588,+,NWMN_0020,NWMN_0020,conserved hypothetical protein
BAF66293.1,930.4054687,0.91287114,0.37256599,2.450226709,0.014276629,7.94E-02,AP009351.1,29978,30778,+,NWMN_0021,NWMN_0021,metallo-beta-lactamase superfamily protein
BAF66294.1,706.633346,-2.394223514,0.162084648,-14.77143915,2.24E-49,8.54E-47,AP009351.1,31006,33324,+,NWMN_0022,NWMN_0022,conserved hypothetical protein
BAF66295.1,70.843297,-0.661693941,0.284174886,-2.328474381,0.019886928,1.01E-01,AP009351.1,33692,34171,+,orfX,NWMN_0023,cassette chromosome attachment site ORF
BAF66296.1,351.8311012,-0.270401341,0.299758419,-0.902064207,0.367022761,5.96E-01,AP009351.1,34713,36458,+,NWMN_0024,NWMN_0024,conserved hypothetical protein
BAF66297.1,1857.381322,3.975149813,0.244101823,16.28480183,1.27E-59,5.73E-57,AP009351.1,36552,37004,-,NWMN_0025,NWMN_0025,conserved hypothetical protein
BAF66298.1,1555.780042,5.42555493,0.207261055,26.177397,4.81E-151,3.49E-147,AP009351.1,37219,37974,-,NWMN_0026,NWMN_0026,conserved hypothetical protein
BAF66299.1,2755.464332,6.134579893,0.331787238,18.48949927,2.51E-76,2.60E-73,AP009351.1,38371,39438,+,NWMN_0027,NWMN_0027,conserved hypothetical protein
BAF66300.1,4585.155237,5.539929859,0.45720908,12.11684129,8.60E-34,1.83E-31,AP009351.1,39469,40803,+,NWMN_0028,NWMN_0028,metallo-beta-lactamase superfamily protein
BAF66301.1,4040.263639,5.329823684,0.318867439,16.71485713,1.02E-62,5.29E-60,AP009351.1,40813,42015,+,NWMN_0029,NWMN_0029,conserved hypothetical protein
BAF66302.1,1359.185931,-0.24578848,0.19134599,-1.284523813,0.198958737,4.22E-01,AP009351.1,42682,43668,-,NWMN_0030,NWMN_0030,conserved hypothetical protein
BAF66303.1,118.8052604,2.524804912,0.317576932,7.950215079,1.86E-15,1.73E-13,AP009351.1,44229,44525,+,NWMN_0031,NWMN_0031,conserved hypothetical protein
BAF66304.1,44.63285733,-0.973196802,0.358644484,-2.713541811,0.006656817,4.57E-02,AP009351.1,44597,45817,-,NWMN_0032,NWMN_0032,conserved hypothetical protein
BAF66305.1,13.79358228,1.765538106,0.557896083,3.164636137,0.00155277,1.50E-02,AP009351.1,45582,45884,+,NWMN_0033,NWMN_0033,hypothetical protein
BAF66306.1,27.03496347,-0.869739724,0.370802825,-2.345558518,0.018998596,9.80E-02,AP009351.1,45810,46295,-,NWMN_0034,NWMN_0034,conserved hypothetical protein
BAF66307.1,155.1475182,0.56168148,0.29233478,1.921363858,0.054685852,1.97E-01,AP009351.1,46473,47333,+,NWMN_0035,NWMN_0035,LysR family regulatory protein
BAF66308.1,26.09260581,-0.258667702,0.436574032,-0.592494475,0.553519519,7.42E-01,AP009351.1,47688,48221,-,NWMN_0036,NWMN_0036,conserved hypothetical protein
BAF66309.1,31.90124135,0.222321205,0.429056363,0.518163171,0.604344428,7.73E-01,AP009351.1,48312,49055,+,NWMN_0037,NWMN_0037,conserved hypothetical protein
BAF66310.1,140.8819858,0.20192682,0.283442764,0.712407745,0.476212321,6.84E-01,AP009351.1,49489,50091,+,NWMN_0038,NWMN_0038,conserved hypothetical protein
BAF66311.1,172.7743084,-0.426889533,0.24192319,-1.764566402,0.077636666,2.45E-01,AP009351.1,50358,53510,+,NWMN_0039,NWMN_0039,conserved hypothetical protein
BAF66312.1,78.95943196,-0.440671916,0.24850472,-1.773293945,0.076180012,2.41E-01,AP009351.1,53567,54049,+,NWMN_0040,NWMN_0040,conserved hypothetical protein
BAF66313.1,53.13840668,-1.031721694,0.267900399,-3.851139078,0.00011757,1.64E-03,AP009351.1,54254,55240,+,NWMN_0041,NWMN_0041,conserved hypothetical protein
BAF66314.1,0.968431658,-0.378210962,1.002411239,-0.377301198,0.705949782,NA,AP009351.1,55461,56231,+,NWMN_0042,NWMN_0042,conserved hypothetical protein
BAF66315.1,1.172513633,0.178421224,0.981347751,0.181812435,0.855729925,NA,AP009351.1,56283,57053,+,NWMN_0043,NWMN_0043,conserved hypothetical protein
BAF66316.1,2.965051503,0.439775165,0.758428332,0.579850654,0.562015335,NA,AP009351.1,57117,57887,+,NWMN_0044,NWMN_0044,conserved hypothetical protein
BAF66317.1,5.483187458,-1.23467199,0.691972085,-1.784280054,0.07437817,NA,AP009351.1,57954,58721,+,NWMN_0045,NWMN_0045,conserved hypothetical protein
BAF66318.1,337.4942176,-0.502979584,0.281290891,-1.78811188,0.073757959,2.36E-01,AP009351.1,58815,61052,+,NWMN_0046,NWMN_0046,conserved hypothetical protein
BAF66319.1,254.1720422,-0.870408508,0.268560644,-3.241012883,0.001191058,1.20E-02,AP009351.1,61194,62381,+,NWMN_0047,NWMN_0047,conserved hypothetical protein
BAF66320.1,306.2375508,-0.084553564,0.256232172,-0.329988088,0.741408963,8.61E-01,AP009351.1,62383,63771,+,NWMN_0048,NWMN_0048,conserved hypothetical protein
BAF66321.1,989.4601765,-0.804767518,0.317980063,-2.530874142,0.011377867,6.78E-02,AP009351.1,64264,65931,-,NWMN_0049,NWMN_0049,conserved hypothetical protein
BAF66322.1,124.2811755,-0.440250501,0.279418909,-1.575593086,0.115119611,3.09E-01,AP009351.1,66251,68026,-,NWMN_0050,NWMN_0050,67 kDa Myosin-crossreactive streptococcal antigen homolog
BAF66323.1,6.093862321,-0.302924347,0.644530431,-0.469992312,0.63836051,NA,AP009351.1,68200,69072,-,NWMN_0051,NWMN_0051,conserved hypothetical protein
BAF66324.1,38.81091912,0.633814409,0.330993638,1.91488396,0.055507304,1.99E-01,AP009351.1,69185,70582,+,NWMN_0052,NWMN_0052,transcriptional regulator GntR family protein
BAF66325.1,80.12095375,-0.681118478,0.301330719,-2.260368545,0.023798387,1.15E-01,AP009351.1,70772,71245,+,NWMN_0053,NWMN_0053,conserved hypothetical protein
BAF66326.1,1122.264992,0.78711532,0.349310567,2.253339559,0.024237747,1.16E-01,AP009351.1,71507,73099,+,lctP,NWMN_0054,L-lactate permease
BAF66327.1,3325.396556,-1.743711941,0.183691547,-9.492608487,2.25E-21,2.92E-19,AP009351.1,73428,74990,-,spa,NWMN_0055,immunoglobulin G binding protein A precursor %28protein A%29
BAF66328.1,1991.289453,-1.242601048,0.18928838,-6.564592317,5.22E-11,3.08E-09,AP009351.1,75375,76151,-,sarH1,NWMN_0056,staphylococcal accessory regulator A homolog
BAF66329.1,527.7239724,1.307211079,0.413952543,3.157876673,0.001589228,1.52E-02,AP009351.1,76496,77494,-,sirC,NWMN_0057,siderophore compound ABC transporter permease protein SirC
BAF66330.1,135.8342512,0.156382292,0.294933214,0.530229503,0.595952818,7.66E-01,AP009351.1,77491,78486,-,sirB,NWMN_0058,siderophore compound ABC transporter permease protein SirB
BAF66331.1,312.2108176,-0.044374722,0.190145871,-0.233372001,0.815472553,9.01E-01,AP009351.1,78502,79494,-,sirA,NWMN_0059,siderophore compound ABC transporter binding protein
BAF66332.1,19.39475134,0.734975718,0.512291081,1.434683806,0.151377221,3.64E-01,AP009351.1,79725,80705,+,sbnA,NWMN_0060,O-Acetyl serine sulfhydrylase
BAF66333.1,14.30525019,-0.68536319,0.579290333,-1.183108281,0.236766236,4.63E-01,AP009351.1,80702,81712,+,sbnB,NWMN_0061,ornithine cyclodeaminase
BAF66334.1,19.89719373,0.038723616,0.403063798,0.096073168,0.923462461,9.59E-01,AP009351.1,81733,83487,+,sbnC,NWMN_0062,siderophore biosynthesis IucC family protein
BAF66335.1,24.45073086,-0.050792808,0.359253903,-0.141384151,0.887566474,9.42E-01,AP009351.1,83480,84736,+,sbnD,NWMN_0063,membrane transporter protein
BAF66336.1,31.41764811,-0.188568247,0.422865117,-0.445930012,0.655647803,8.09E-01,AP009351.1,84726,86462,+,sbnE,NWMN_0064,siderophore biosynthesis IucA family protein
BAF66337.1,27.61025966,-0.321510598,0.503334011,-0.638761916,0.522977827,7.21E-01,AP009351.1,86371,88221,+,sbnF,NWMN_0065,siderophore biosynthesis IucC family protein
BAF66338.1,37.74517178,-0.579405054,0.443985003,-1.305010416,0.191889301,4.13E-01,AP009351.1,88193,88972,+,sbnG,NWMN_0066,2-dehydro-3-deoxyglucarate aldolase
BAF66339.1,92.70509472,-0.284423049,0.301428653,-0.943583321,0.345382619,5.74E-01,AP009351.1,88972,90174,+,sbnH,NWMN_0067,diaminopimelate decarboxylase
BAF66340.1,84.72881221,-0.039465497,0.247276746,-0.159600517,0.873195772,9.37E-01,AP009351.1,90178,90942,+,sbnI,NWMN_0068,SbnI protein
BAF66341.1,24.88641977,0.992031455,0.37467305,2.647725675,0.008103525,5.27E-02,AP009351.1,91138,91545,+,NWMN_0069,NWMN_0069,conserved hypothetical protein
BAF66342.1,15.27428434,1.140697532,0.43590741,2.616834461,0.008874937,5.64E-02,AP009351.1,91595,92221,+,NWMN_0070,NWMN_0070,conserved hypothetical protein
BAF66343.1,2462.46437,-0.25826222,0.41430717,-0.623359283,0.533048448,7.28E-01,AP009351.1,92433,93209,+,NWMN_0071,NWMN_0071,glucose%2Fribitol dehydrogenase
BAF66344.1,6.607508522,-0.883977121,0.625405922,-1.413445397,0.157524806,NA,AP009351.1,93566,94525,+,NWMN_0072,NWMN_0072,NAD dependent epimerase%2Fdehydratase family protein
