locus,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,pval,padj,significant,Column1,Column2,Column3,Column4,Column5
NWMN_0001,7934.502357,5965.258904,9903.74581,1.660237379,0.731389532,0.294800301,0.486308829,no,,,,,
NWMN_0002,6424.532749,5980.646232,6868.419265,1.148440988,0.199676726,0.776449624,0.88091993,no,,,,,
NWMN_0003,7058.150821,9172.847727,4943.453915,0.538922488,-0.891850308,0.067991382,0.183693065,no,,,,,
NWMN_0004,10655.09045,13460.99483,7849.186078,0.583105943,-0.778170069,0.082339587,0.206094507,no,,,,,
NWMN_0005,11397.81605,15623.37833,7172.253777,0.459071887,-1.123208008,0.027749829,0.097068679,no,,,,,
NWMN_0006,3913.003766,3913.390958,3912.616573,0.999802119,-0.00028551,0.699585519,0.827906232,no,,,,,
NWMN_0007,7619.826399,14771.46415,468.1886458,0.03169548,-4.979579076,5.35E-17,4.99E-15,yes,hutH Histidine ammonia-lyase,,,,
NWMN_0008,7299.11822,10059.23993,4538.996506,0.451226587,-1.148076018,0.03631542,0.116575176,no,,,,,
NWMN_0009,778.0142003,948.7118271,607.3165735,0.640148627,-0.643521192,0.409114456,0.602941947,no,,,,,
NWMN_0010,456.9077882,576.9622965,336.8532798,0.583839329,-0.776356698,0.217807865,0.399872158,no,,,,,
NWMN_0011,1013.444594,1043.440962,983.4482265,0.942504906,-0.085427966,0.7137753,0.838068689,no,,,,,
NWMN_0012,4769.729475,5586.920431,3952.538519,0.707462826,-0.499273751,0.325262135,0.519191724,no,,,,,
NWMN_0013,13673.84068,12835.99844,14511.68292,1.130545706,0.177019319,0.871663416,0.932746337,no,,,,,
NWMN_0014,4251.371979,3921.937267,4580.806691,1.167995911,0.224035223,0.764358375,0.873901166,no,,,,,
NWMN_0015,8853.487178,8477.265713,9229.708644,1.088760097,0.122686099,0.801703376,0.895513921,no,,,,,
NWMN_0016,3559.597462,6638.086463,481.1084612,0.07247698,-3.786333344,2.89E-09,1.08E-07,yes,"adenylosuccinate synthetase / Adenylosuccinate synthetase (AdSS) catalyzes the first step in the de novo biosynthesis of AMP. IMP and L-aspartate are conjugated in a two-step reaction accompanied by the hydrolysis of GTP to GDP in the presence of Mg2+. In the first step, the...; cd0310",,,,
NWMN_0017,5499.163172,5940.08921,5058.237135,0.851542284,-0.231849924,0.562421794,0.728972295,no,,,,,
NWMN_0018,9140.238394,7698.706848,10581.76994,1.37448667,0.458892916,0.591848758,0.74813372,no,,,,,
NWMN_0019,7978.915444,5635.414,10322.41689,1.831705157,0.873187297,0.188514931,0.364881121,no,,,,,
NWMN_0020,5344.100394,4348.005137,6340.195652,1.45818495,0.544173716,0.312288257,0.50589536,no,,,,,
NWMN_0021,3533.006678,3401.626306,3664.387049,1.077245623,0.107347236,0.55962487,0.727150565,no,,,,,
NWMN_0022,4452.784307,2851.028594,6054.54002,2.123633566,1.08653485,0.043039562,0.13235457,no,,,,,
NWMN_0023,981.8640674,1059.321933,904.4062021,0.853759536,-0.228098307,0.608696908,0.762110695,no,,,,,
NWMN_0024,2328.159016,2318.858454,2337.459577,1.008021673,0.011526657,0.9513173,0.978273162,no,,,,,
NWMN_0025,731.8779215,516.6598738,947.0959693,1.833113074,0.87429578,0.067273167,0.182349362,no,,,,,
NWMN_0026,413.4718277,255.5176603,571.425995,2.236346382,1.161143661,0.017190988,0.066449781,no,,,,,
NWMN_0027,157.2170734,99.76769902,214.6664478,2.151662812,1.10545201,0.012170076,0.051025971,no,,,,,
NWMN_0028,536.8200739,474.2196224,599.4205253,1.264014598,0.338013125,0.524873205,0.699384846,no,,,,,
NWMN_0029,4796.706887,5343.273083,4250.14069,0.795418955,-0.330213153,0.505429947,0.68287924,no,,,,,
NWMN_0030,3630.234982,6147.779571,1112.690393,0.180990613,-2.46601322,0.026016824,0.092366796,no,,,,,
NWMN_0031,429.327986,673.5049426,185.1510294,0.274906712,-1.862985963,0.008895958,0.040286202,yes,hypothetical protein / Regulator of competence-specific genes [Transcription]; ,,,,
NWMN_0032,465.7769872,496.1423539,435.4116205,0.877594136,-0.188374209,0.757546232,0.870095958,no,,,,,
NWMN_0033,0,0,0,NA,NA,NA,NA,no,,,,,
NWMN_0034,96.40191005,60.01622989,132.7875902,2.212528019,1.145695725,0.016106462,0.063382809,no,,,,,
NWMN_0035,506.7448531,473.1102987,540.3794076,1.142184833,0.191796132,0.4129212,0.605895463,no,,,,,
NWMN_0036,55.46878583,58.59956867,52.33800298,0.893146557,-0.163031168,0.987787145,0.994638848,no,,,,,
NWMN_0037,243.3709633,198.6555714,288.0863552,1.450180095,0.536232076,0.212578212,0.392976276,no,,,,,
NWMN_0038,277.6234347,208.0057153,347.2411541,1.669382755,0.739314773,0.07320937,0.193033384,no,,,,,
NWMN_0039,1913.886859,1454.839196,2372.934523,1.631063096,0.705812593,0.214062674,0.394461049,no,,,,,
NWMN_0040,642.2575445,541.6917569,742.8233321,1.371302632,0.455546994,0.314548044,0.507981483,no,,,,,
NWMN_0041,486.089721,488.1730275,484.0064145,0.991464885,-0.012366418,0.920955094,0.96017392,no,,,,,
NWMN_0042,21.92989146,22.50413449,21.35564842,0.948965553,-0.075572376,0.973910374,0.987132586,no,,,,,
NWMN_0043,78.46205232,45.64982298,111.2742817,2.437562172,1.285439016,0.014452899,0.058294998,no,,,,,
NWMN_0044,116.2045762,59.38780036,173.021352,2.913415734,1.542711584,0.002818191,0.015836414,yes,"hypothetical protein / Protein of unknown function, DUF576; pfam04507",,,,
NWMN_0045,159.7817153,102.6452381,216.9181924,2.11328062,1.079484353,0.037725761,0.119487775,no,,,,,
NWMN_0046,4057.343424,3721.786851,4392.899996,1.180320145,0.239178223,0.729495112,0.849073821,no,,,,,
