Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,molecule,begin,end,strand,id,locus,description,,
BAF66273.1,575.7812852,0.115026273,0.344044507,0.334335445,0.738126447,0.92803774,AP009351.1,517,1878,+,dnaA,NWMN_0001,chromosomal replication initiator protein DnaA,,
BAF66274.1,1214.68912,-0.070693877,0.13739343,-0.514536081,0.606877241,0.873813176,AP009351.1,2163,3296,+,dnaN,NWMN_0002,DNA polymerase III beta subunit,,
BAF66275.1,689.7024562,0.042671226,0.180238239,0.23674902,0.812851503,0.945939729,AP009351.1,3919,5031,+,recF,NWMN_0003,DNA replication and repair protein RecF,,
BAF66276.1,1459.092366,-0.038922665,0.417665335,-0.093191034,0.925751797,0.97973872,AP009351.1,5041,6975,+,gyrB,NWMN_0004,DNA gyrase B subunit,,
BAF66277.1,2994.66628,0.055249247,0.223881837,0.246778602,0.805079572,0.945528564,AP009351.1,6994,9675,+,gyrA,NWMN_0005,DNA gyrase A subunit,,
BAF66278.1,2110.233045,-0.253853624,0.353896875,-0.717309594,0.473183089,0.808069423,AP009351.1,9762,10592,-,NWMN_0006,NWMN_0006,conserved hypothetical protein,,
BAF66279.1,118.401857,0.033074577,0.240860692,0.137318285,0.890779218,0.970116559,AP009351.1,10900,12414,+,hutH,NWMN_0007,histidine ammonia-lyase,,
BAF66280.1,1701.952348,-0.960302792,0.19452031,-4.936773903,7.94E-07,3.40E-05,AP009351.1,12793,14079,+,serS,NWMN_0008,seryl-tRNA synthetase,,
BAF66281.1,125.9153144,0.65259645,0.39017632,1.672568058,0.094412359,0.390792236,AP009351.1,14729,15424,+,NWMN_0009,NWMN_0009,conserved hypothetical protein,,
BAF66282.1,70.42789457,0.199529131,0.391588864,0.509537296,0.610375663,0.875422887,AP009351.1,15421,15750,+,NWMN_0010,NWMN_0010,conserved hypothetical protein,,
BAF66283.1,144.4866499,0.457597153,0.266372748,1.717882768,0.085818001,0.370107155,AP009351.1,16113,17081,+,NWMN_0011,NWMN_0011,conserved hypothetical protein,,
BAF66284.1,720.092124,0.45056447,0.153065186,2.943611679,0.003244068,0.039973386,AP009351.1,17324,18310,+,NWMN_0012,NWMN_0012,conserved hypothetical protein,,
BAF66285.1,1980.359406,0.060321762,0.368208438,0.16382504,0.869868879,0.964991644,AP009351.1,18325,20292,+,NWMN_0013,NWMN_0013,conserved hypothetical protein,,
BAF66286.1,679.4878842,-0.332731875,0.384719143,-0.864869559,0.387110387,0.752074126,AP009351.1,20289,20735,+,rplI,NWMN_0014,50S ribosomal protein L9,,
BAF66287.1,2317.827906,-0.175852943,0.119626347,-1.470018498,0.141556744,0.477775993,AP009351.1,20767,22167,+,dnaB,NWMN_0015,replicative DNA helicase,,
BAF66288.1,308.8900063,-0.702874986,0.24598219,-2.857422261,0.004270972,0.049803571,AP009351.1,22445,23728,+,purA,NWMN_0016,adenylosuccinate synthetase,,
BAF66289.1,534.8979085,0.251701761,0.266138484,0.945754848,0.34427364,0.722032252,AP009351.1,24926,25633,+,vicR,NWMN_0017,response regulator protein,,
BAF66290.1,563.1059737,0.166207247,0.396750772,0.418921042,0.675273838,0.903357144,AP009351.1,25646,27472,+,vicK,NWMN_0018,sensor kinase protein,,
BAF66291.1,464.1834301,0.120443031,0.433526141,0.277821841,0.781149124,0.93871515,AP009351.1,27438,28799,+,NWMN_0019,NWMN_0019,conserved hypothetical protein,,
BAF66292.1,511.1735978,0.049885538,0.172842789,0.288617987,0.77287373,0.936953441,AP009351.1,28800,29588,+,NWMN_0020,NWMN_0020,conserved hypothetical protein,,
BAF66293.1,930.4054687,0.25998764,0.372715542,0.697549767,0.485458805,0.815592375,AP009351.1,29978,30778,+,NWMN_0021,NWMN_0021,metallo-beta-lactamase superfamily protein,,
BAF66294.1,706.633346,-0.494407022,0.154316403,-3.203852681,0.001356018,0.02033562,AP009351.1,31006,33324,+,NWMN_0022,NWMN_0022,conserved hypothetical protein,,
BAF66295.1,70.843297,-0.115181062,0.272289839,-0.423009036,0.672288668,0.902697461,AP009351.1,33692,34171,+,orfX,NWMN_0023,cassette chromosome attachment site ORF,,
BAF66296.1,351.8311012,0.454436038,0.29575864,1.536509766,0.124413404,0.444193455,AP009351.1,34713,36458,+,NWMN_0024,NWMN_0024,conserved hypothetical protein,,
BAF66297.1,1857.381322,-0.080821739,0.24732355,-0.326785454,0.743830162,0.930309041,AP009351.1,36552,37004,-,NWMN_0025,NWMN_0025,conserved hypothetical protein,,
BAF66298.1,1555.780042,0.362387633,0.215953772,1.678079663,0.093331548,0.387739781,AP009351.1,37219,37974,-,NWMN_0026,NWMN_0026,conserved hypothetical protein,,
BAF66299.1,2755.464332,2.607526158,0.332808766,7.834908279,4.69E-15,5.10E-13,AP009351.1,38371,39438,+,NWMN_0027,NWMN_0027,conserved hypothetical protein,,
BAF66300.1,4585.155237,2.525845348,0.457491003,5.521082011,3.37E-08,1.83E-06,AP009351.1,39469,40803,+,NWMN_0028,NWMN_0028,metallo-beta-lactamase superfamily protein,,
BAF66301.1,4040.263639,2.296878456,0.319370082,7.191902378,6.39E-13,5.79E-11,AP009351.1,40813,42015,+,NWMN_0029,NWMN_0029,conserved hypothetical protein,,
BAF66302.1,1359.185931,-0.735900419,0.191410003,-3.844628856,0.000120735,0.002890195,AP009351.1,42682,43668,-,NWMN_0030,NWMN_0030,conserved hypothetical protein,,
BAF66303.1,118.8052604,0.727251175,0.324842318,2.238782124,0.025170096,0.175576767,AP009351.1,44229,44525,+,NWMN_0031,NWMN_0031,conserved hypothetical protein,,
